Job,Sex,Year,Count,Perc
Actor,men,1850,506,0.9359620672700001
Actor,men,1860,401,0.47543202069
Actor,men,1870,1507,1.1478372484000001
Actor,men,1880,3983,2.17563687631
Actor,men,1900,10449,3.51939393537
Actor,men,1910,15867,4.075891994070001
Actor,men,1920,14020,3.33901243301
Actor,men,1930,28815,5.91317380015
Actor,women,1930,19210,3.9421158667600005
Actor,women,1940,8750,1.68168080902
Actor,women,1950,7067,1.16346613601
Actor,women,1960,8069,0.9284583757000001
Actor,women,1970,11127,1.01837963362
Actor,women,2000,25931,1.5423885960000003
Agent,men,1850,2528,4.6761108815300005
Agent,men,1860,4610,5.46568981392
Agent,men,1870,5930,4.516705297310001
Agent,men,1880,20657,11.283487560660001
Agent,men,1900,19299,6.50021854328
Agent,men,1910,52647,13.52388515864
Agent,men,1920,30365,7.2317483971700005
Agent,men,1930,54081,11.09805144147
Agent,women,1930,5562,1.14138721764
Agent,women,1940,12692,2.4393020375000005
Agent,women,1950,23172,3.81489136886
Agent,women,1960,46524,5.35327766403
Agent,women,1970,1102,0.10085866417000001
Apprentice,men,1850,3134,5.797045689370001
Apprentice,men,1860,22765,26.99054850627
Apprentice,men,1870,24010,18.287705596730003
Apprentice,men,1880,20449,11.16987157515
Apprentice,men,1900,17486,5.88957051908
Apprentice,men,1910,70527,18.116873679090002
Apprentice,men,1920,17761,4.22997145668
Apprentice,men,1930,17699,3.63204105809
Apprentice,women,1930,1517,0.31130607859
Apprentice,women,1940,3081,0.59214383686
Apprentice,women,1950,1072,0.17648729274000002
Apprentice,women,1960,2492,0.2867416374
Apprentice,women,1970,1103,0.10095018746000001
Apprentice,women,1980,1622,0.12622289322000002
Apprentice,women,1990,405,0.027158300110000002
Architect,men,1850,405,0.7491395992900001
Architect,men,1860,1707,2.02384653196
Architect,men,1870,1914,1.4578370892100003
Architect,men,1880,3892,2.1259298826500004
Architect,men,1900,10151,3.4190226660800005
Architect,men,1910,16624,4.27034905839
Architect,men,1920,15439,3.6769624075000005
Architect,men,1930,18200,3.7348520965700005
Architect,women,1940,303,0.058234204010000006
Architect,women,1950,519,0.085444874
Architect,women,1960,1096,0.12611108932
Architect,women,1970,2606,0.23850969041
Architect,women,1980,10949,0.85204343891
Architect,women,1990,27057,1.8143756205200003
Architect,women,2000,45789,2.7235521739300004
Athlete,men,1850,204,0.37734439075000004
Athlete,men,1860,100,0.11856160116
Athlete,men,1870,201,0.15309574447
Athlete,men,1880,498,0.27202288837
Athlete,men,1900,3417,1.15090143335
Athlete,men,1920,3735,0.8895300597200001
Athlete,men,1930,7579,1.55529912307
Athlete,women,1940,748,0.14375968516
Athlete,women,1950,155,0.025518218630000002
Athlete,women,1960,796,0.09159163056
Auctioneer,men,1850,809,1.4964294711800001
Auctioneer,men,1860,1908,2.26215535031
Auctioneer,men,1870,2108,1.6056011411000002
Auctioneer,men,1880,2594,1.4169224346300002
Auctioneer,men,1900,2818,0.94914844577
Auctioneer,men,1910,2519,0.64707707399
Auctioneer,men,1920,5652,1.34608404218
Auctioneer,men,1930,5053,1.03693448593
Auctioneer,women,1940,2744,0.52737510171
Auctioneer,women,1950,2970,0.48896199574000004
Auctioneer,women,1960,99,0.01139142138
Auctioneer,women,1970,800,0.07321863097
Auctioneer,women,1980,1282,0.0997643336
Auctioneer,women,1990,1577,0.10574972663000001
Author,men,1850,101,0.18682246797
Author,men,1860,301,0.35687041952000004
Author,men,1870,303,0.23078612227
Author,men,1880,797,0.43534586754000004
Author,men,1900,803,0.27046352092000003
Author,men,1910,1260,0.32366697627
Author,men,1920,3836,0.9135842862300001
Author,men,1930,7581,1.55570954638
Author,women,1930,5055,1.0373449092400002
Author,women,1940,4047,0.77780139818
Author,women,1950,5669,0.9333082673000002
Author,women,1960,11349,1.3058711247700001
Author,women,1970,12021,1.10020145374
Author,women,1980,26476,2.06034360112
Author,women,1990,63063,4.22884908736
Author,women,2000,107058,6.36786233892
Baggageman,men,1850,809,1.4964294711800001
Baggageman,men,1860,1509,1.7890945616500002
