Movie,Release Year,Revenue,Duration
Avatar,2009,2781505847,162
Titanic,1997,1835300000,194
Harry Potter and the Deathly Hallows: Part 2,2011,1327655619,130
Toy Story 3,2010,1062984497,103
Alice in Wonderland,2010,1023285206,108
The Dark Knight,2008,1001921825,152
Jurassic Park,1993,919700000,127
Harry Potter and the Goblet of Fire,2005,892194397,157
Ice Age: Dawn of the Dinosaurs,2009,887773705,94
Spider-Man 3,2007,885430303,139
Shrek 2,2004,880871036,93
Harry Potter and the Chamber of Secrets,2002,866300000,161
Finding Nemo,2003,865000000,100
Transformers: Revenge of the Fallen,2009,836276689,150
Inception,2010,817068851,148
